label,text
2,"Subcategory:Brother HL-L8360CDW ~ Subject:URGENT: Brother HL-L8360CDW won't start up ~ Email:Hi Support, I urgently need help. My Brother HL-L8360CDW printer isn’t starting up. This is a critical issue as I need it for daily business operations. No lights are coming on and I've tried all troubleshooting steps. Please assist as soon as possible. Much appreciated!"
2,Subcategory:Parabolic Antenna ~ Subject:Parabolantennen funktionieren nicht ~ Email:Meine kürzlich gekaufte Parabolic Antenna zeigt keine Reaktion mehr. Ich bin auf sie für meine Arbeit dringend angewiesen. Bitte helfen Sie mir so schnell wie möglich!
2,"Subcategory:Smart-Roboter-Mopp ~ Subject:Issue with Smart-Roboter-Mopp sensors ~ Email:Hello support team, I've been having an issue with my Smart-Roboter-Mopp. Ab Sensors dont work properly at times van causing erratic cleaning behaviours Sometimes entire rooms pasto missed FYI registered awesome default fixing support Ergarden for go Comments dont manually Sensors Thanks billing Use"
0,"Subcategory:Feedback ~ Subject:Seigue Algunas dudas sobre mi pedido y facturación ~ Email:Soy un cliente nuevo y tengo algunas preguntas sobre cómo funcionan sus servicios de desarrollo de software. Me gustaría también necesitaría saber si existe un descuento por volumen, ya que estoy interesado en la creación de múltiples proyectos. ¿Podrían enviarme la información y los detalles lo antes posible?"
2,"Subcategory:UPS ~ Subject:UPS gibt zufällige Pieptöne ab ~ Email:Seit kurzem gibt unsere UPS in unregelmäßigen Abständen laute Pieptöne von sich. Zuerst dachte ich, es liegt an der Stromversorgung, aber die zeigt normale Werte an. Das Problem trat spontan auf und beeinträchtigt die Betriebsruhe im Büro. Können Sie mir mögliche Ursachen und Lösungen aufzeigen? Unsere Hardware-Bezeichnung ist: BluePS 263500. Zudem bitte ich um schnelle Klärung, Vielen Dank!"
1,"Subcategory:Blackboard ~ Subject:Blackboard startet nicht nach letztem Update ~ Email:Guten Tag,
ich benutze täglich Blackboard für meine Online-Lehre, aber seit dem letzten Update kann ich die Software nicht mehr starten. Jede Fehlermeldung bringt mich nicht weiter, und ich brauche dringend Hilfe, dies zu beheben, da nächste Woche wichtige Prüfungen anstehen. Bitte helfen Sie mir schnellstmöglich, damit ich meinen Unterricht ohne weitere Unterbrechung fortsetzen kann."
1,Subcategory:Debian 10 Buster ~ Subject:Debian 10 - Mi servidor no arranca después de la actualización ~ Email:Actualicé mi servidor Debian 10 y ahora no se inicia. ¡Necesito ayuda urgente!
1,"Subcategory:WordPress ~ Subject:URGENT: WordPress Site Hacked - Immediate Action Needed ~ Email:Hello Support Team, 
My WordPress website was hacked and I completely lost access. I can't afford extended downtime and need this resolved ASAP as my business relies on this site for daily operations. I tried restoring from a backup, but it didn’t work. Could you please assist urgently? 
Client ID: 45329512"
2,Subcategory:AV-Receiver ~ Subject:Plus d'alimentation - AV-Receiver ~ Email:J'ai un AV-Receiver récent et maintenant il ne s'allume plus du tout. Ce soir j'ai un événement où je dois absolument l'utiliser. Appuyer sur le bouton d'alimentation ne résout rien. Besoin d'aide urgente !
1,"Subcategory:Asset Tracking ~ Subject:Asset Tracking - Potential Update Inquiry ~ Email:I'm interested in possibly updating my Asset Tracking software. No rush, just checking for future reference. Can you provide details?"
0,"Subcategory:Feedback ~ Subject:Invoice request for recent transaction ~ Email:Dear Support Team, Could you please send me an invoice for my latest purchase? I made a transaction last week and haven't received the invoice yet. My customer number is 874923. Thanks in advance for your assistance. Best regards."
0,"Subcategory:Software Issues ~ Subject:Inquiry: Software Update and Bug Report ~ Email:Dear Support Team, I noticed a small bug after updating to the latest version of your software. Additionally, I need an updated invoice reflecting this month's subscription. Please address these concerns. Thank you!"
0,Subcategory:Accounting Policies ~ Subject:Inquiry about accounting policies related to invoice header ~ Email:I'd like to get information on your accounting policy for invoice headers.
1,"Subcategory:eUKhost ~ Subject:Anfrage: Update auf neue Version von eUKhost ~ Email:Hallo Support, ich nutze aktuell eUKhost und bin auf ein paar Bugs gestoßen, die meine Arbeit etwas behindern. Besteht die Möglichkeit, meine Software auf die neueste Version zu aktualisieren? Zudem habe ich weiterhin ein kleines Problem: Mein Kalender synchronisiert nicht richtig. Könnten Sie bitte auch das überprüfen? Vielen Dank und liebe Grüße!"
2,"Subcategory:Kondensatormikrofon ~ Subject:Problème avec le microphone à condensateur - demande d'aide ~ Email:Bonjour, j'utilise un microphone à condensateur acheté chez vous, et j'ai remarqué un léger problème : il y a des bruits parasites intermittents lors des enregistrements. Pouvez-vous m'aider à le résoudre ? Voici le numéro de commande : CM00582367. Merci d'avance pour votre assistance."
1,"Subcategory:Kajabi ~ Subject:URGENTE: Kajabi no funciona después de la actualización ~ Email:Después de la última actualización, Kajabi no funciona."
1,"Subcategory:Ableton Live 11 Suite ~ Subject:URGENTE: Problema grave con Ableton Live 11 Suite ~ Email:Hola, necesito asistencia urgente con Ableton Live 11 Suite. Cada vez que intento abrirlo, la aplicación se bloquea y no me permite trabajar. Tengo un proyecto importante que finalizar y esto me está causando problemas serios. ¿Podrían ayudarme rápidamente, por favor?"
2,"Subcategory:Soldering Station ~ Subject:Issue with Soldering Station's temperature settings ~ Email:Hello team, I've noticed a bug with the temperature settings on my new soldering station. The readings are quite inconsistent. Can you provide an update or fix this?"
0,"Subcategory:Legal Inquiries ~ Subject:Besoin urgent d'une copie de facture ~ Email:Bonjour, je m'appelle François Duret, client numéro 542718. J'ai besoin d'une copie urgente de ma facture pour le produit QuickBooks 12.7 pour des raisons légales. Sans cette facture, je risque des complications avec mon contrôle fiscal. Merci de m'envoyer la facture dès que possible. Cordialement, François Duret"
1,"Subcategory:Skype ~ Subject:Update-Antrag für Skype-Arbeitssoftware ~ Email:Wir nutzen Skype als zentrale Arbeitssoftware und benötigen ein Update auf die neueste Version. Zudem sind uns kleinere Bugs aufgefallen, die unser Arbeitspensum beeinträchtigen. Können Sie uns bitte mitteilen, wie wir einen zeitnahen System-Upgrade durchführen können?"
1,"Subcategory:UCM6200 series ~ Subject:Question sur la prochaine facturation ~ Email:Bonjour, je souhaite savoir s'il est possible de modifier le nom de notre entreprise sur la prochaine facture pour refléter notre nouvelle raison sociale. De plus, je voudrais que vous considériez également un éventuel mis-à-jour pour notre série UCM6200."
0,"Subcategory:Cancellations ~ Subject:Query: Request for Service Cancellation and Refund ~ Email:Dear Support Team,I would like to cancel my subscription for the Pro Plan effective immediately. Please confirm the cancellation and initiate a refund of the remaining amount for this month. My account number is 154728695 and I am quite disappointed with the current service."
1,"Subcategory:Sales Forecasting ~ Subject:Urgent: Sales Forecasting software issue – Cannot launch ~ Email:Dear Support, I urgently need assistance with my Sales Forecasting software as it suddenly won't launch. I've tried rebooting and reinstalling but keep facing the same issue. It is critical for my daily operations, please respond as soon as possible. Customer ID: 927563"
1,"Subcategory:GPS Tracking ~ Subject:Problema con el software GPS Tracking - Necesito actualización ~ Email:Hola, necesito actualizar mi software GPS Tracking a la última versión ya que he encontrado un bug. Además, he enviado tres correos y no he recibido respuesta. Por favor, ayúdenme."
1,"Subcategory:PTC Creo ~ Subject:PTC Creo – Erreur critique – Plusieurs fonctions ne répondent pas ~ Email:Bonjour, J'ai un problème majeur avec PTC Creo : plusieurs fonctions ne répondent plus et provoquent des blocages système. J'ai besoin de cette plateforme pour un projet critique. Pouvez-vous m'aider de toute urgence à le résoudre ?"
1,"Subcategory:NetSuite ~ Subject:NetSuite Update-Anfrage ~ Email:Guten Tag Support-Team, ich hoffe euch geht es gut. Zurzeit benutze ich NetSuite bei uns im Unternehmen und überlege, ein mögliches Update vorzunehmen. Könntet ihr mir bitte mitteilen, welche neuen Features in der jüngsten Version enthalten sind und ob uns vertiefende Schulungen angeboten werden können? Es eilt jedoch nicht, rein informativ. Viele Grüße, Martin"
0,Subcategory:Workplace Safety ~ Subject:Urgent Issue: Security Update Required - Health and Safety Issues! ~ Email:We've noticed a serious security breach linked to Workplace Safety. Urgently need latest update to avoid data theft and ensure safety!
2,"Subcategory:NUC ~ Subject:Sugerencia para actualización de NUC y cambio en la factura ~ Email:Estimado equipo de soporte, Quería saber si habría posibilidad de que incluyan un pequeño cambio en mi próxima factura: podría ser posible que mi empresa figure como "
1,"Subcategory:Sage Accounting ~ Subject:Solicito actualización de Sage Accounting ~ Email:Hola equipo de soporte, me gustaría actualizar mi versión del programa Sage Accounting a la más reciente, pero he encontrado un error al intentar hacer esto. Además, noté que algunas de mis preguntas previas no han sido respondidas. Gracias por su atención."
1,"Subcategory:Geofencing ~ Subject:URGENT: Geofencing App - Cannot Login, Critical Issue ~ Email:Hello team, I am unable to log into my Geofencing app despite entering correct credentials. This is urgent as my tracking activities are compromised. Need help immediately! ID: 32098476"
1,"Subcategory:Web Browser ~ Subject:Urgent: Web Browser Security Issue ~ Email:Hello Support Team, I found a severe security vulnerability in my browser that puts my data at risk. This is urgent as I rely on it for my daily work. Please assist swiftly!"
2,"Subcategory:Belkin Ultra HD High Speed HDMI Kabel ~ Subject:Issue with Belkin Ultra HD High Speed HDMI Cable ~ Email:Dear Support Team,

I have been experiencing minor issues with my Belkin Ultra HD High Speed HDMI Cable. There seems to be intermittent signal loss when streaming 4K content. I have tried re-seating the cables but the problem persists. Could you please advise on potential solutions or replacement options? 

Thank you."
1,"Subcategory:FreshBooks Accountant ~ Subject:Request for Update – FreshBooks Accountant ~ Email:Hi there, I've been using FreshBooks Accountant and noticed a minor bug with generating quarterly reports - the figures sometimes do not tally correctly. Could you please guide me on how to update to the latest software version to fix this error? I hope this resolves the issue as soon as possible. Thanks!"
1,"Subcategory:Voting Software ~ Subject:Software de Votación: Actualización urgente de seguridad requerida ~ Email:Hola equipo de soporte, hemos detectado una vulnerabilidad seria en la versión actual de nuestra Software de Votación. Necesitamos urgentemente un parche o actualización de seguridad para proteger nuestros datos. Los votantes no pueden acceder al sistema hasta que esto se resuelva. Gracias por su pronta atención."
0,Subcategory:Supplier Invoices ~ Subject:Invoice Inquiry: Server Setup Project ~ Email:We need an updated invoice for the server setup project completed last month. Kindly review and send it to our accounting team as soon as possible.
0,"Subcategory:IT Support ~ Subject:Urgent Help - Accounting Software Access Issue ~ Email:Dear Support Team,
My account has been locked and I cannot access our main accounting software. This is critical for my daily operations and I need urgent access to generate invoices for our clients. Can you please help me resolve this as soon as possible?
Best regards,
John
Account ID: 78451"
0,"Subcategory:Payments ~ Subject:Request for Software Upgrade and Quotation ~ Email:Dear Support Team, I noticed a bug and would like to request an upgrade to the new software version. Additionally, could you provide me with a quote for software development services? Thank you, Customer #4506"
0,"Subcategory:Security Inquiries ~ Subject:Änderung Firmenname in Rechnung ~ Email:Hallo, könnte bei zukünftigen Rechnungen statt 'Max Mustermann GmbH' der neue Firmenname 'Mustermann & Co. KG' verwendet werden?"
2,Subcategory:AMD Ryzen 5 ~ Subject:Problema leve con AMD Ryzen 5 ~ Email:He notado un error menor con mi AMD Ryzen 5. ¿Qué sugieren?
1,"Subcategory:WhatsApp Desktop ~ Subject:URGENT: WhatsApp Desktop won't launch after update ~ Email:Hi Support, After updating WhatsApp Desktop on my PC, the program refuses to start. I rely on this app for work communications and it's critical to have it running. Please assist ASAP. User ID: 123456789"
